WEAPObjectType,WEAPAttributeName
"Demand Site","Annual Water Use Rate"
"Demand Site","Monthly Demand"
"Demand Site","Monthly DemandS"
"Flow requirement","Minimum Flow Requirement"
"Reservoir","Elevation-Curve"
"Reservoir","Hydropower Priority"
"Reservoir","Initial Storage"
"Reservoir","Loss to Groundwater"
"Reservoir","Max. Turbine Flow"
"Reservoir","Maximum Hydraulic Outflow"
"Reservoir","Net Evaporation"
"Reservoir","Observed Volume"
"Reservoir","Priority"
"Reservoir","Storage Capacity"
"Reservoir","Tailwater Elevation"
"Reservoir","Top of Buffer"
"Reservoir","Top of Conservation"
"Reservoir","Top of Inactive"
"Reservoir","Volume Elevation Curve"
"Reservoir","Volume-Curve"
"Streamflow gauge","Streamflow Data"
"Transmission Link","Maximum Flow   Volume"
